12:20:18(007) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
12:20:18(007) , [EZNET:EVENT]  
12:20:18(007) , [EZNET:EVENT]  =========================================================
12:20:18(007) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
12:20:18(007) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
12:20:18(028) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
12:20:18(028) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
12:20:18(028) , [EZNET:EVENT]  Reading Report File.  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
12:20:18(028) , [EZGEM:ASSIS]  [GEM:CONFIG] EZGEM.RPT File Not Found
12:20:18(028) , [EZGEM:ASSIS]  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
12:20:18(049) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
12:21:42(258) , [EZNET:EVENT]  =========================================================
12:21:42(258) , [EZNET:EVENT]  
12:21:42(278) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
12:21:42(278) , [EZNET:EVENT]  
12:21:42(278) , [EZNET:EVENT]  =========================================================
12:21:42(278) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
12:21:42(278) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
12:21:42(296) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
12:21:42(296) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
12:21:42(296) , [EZNET:EVENT]  Reading Report File.  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
12:21:42(296) , [EZGEM:ASSIS]  [GEM:CONFIG] EZGEM.RPT File Not Found
12:21:42(296) , [EZGEM:ASSIS]  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
12:21:42(314) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
12:22:04(050) , [EZNET:EVENT]  =========================================================
12:22:04(050) , [EZNET:EVENT]  
12:22:04(070) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
12:22:04(070) , [EZNET:EVENT]  
12:22:04(070) , [EZNET:EVENT]  =========================================================
12:22:04(070) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
12:22:04(070) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
